edition_id,topic_name,category,mechanism_summary,case_reference,source_document,scale_figure,status
1,Trade-Based Money Laundering,Laundering,Over/under-invoicing and phantom shipments used to move value through legitimate trade finance channels,Operation Fashion Black ($200M Colombia-US 2013),FATF Trade-Based Money Laundering Risk Indicators 2022,"$1.6T laundered annually through trade channels (FATF)",generated
2,Silk Road and Early Darknet Markets,Darknet,How Tor + PGP + multi-sig escrow created the first scalable anonymous marketplace,Silk Road 1 takedown 2013 Ross Ulbricht,American Kingpin by Nick Bilton,$1.2B in Bitcoin transactions on Silk Road (FBI),pending
3,Hawala and Informal Value Transfer,Laundering,Trust-based money transfer outside banking systems using settlement networks across diaspora communities,Al-Kaddafi hawala network Dubai-Libya 2011,FATF Report on Informal Value Transfer Systems (2013),$200-300B flows through hawala annually (World Bank est),pending
4,Crypto Mixer Evolution Bitcoin Fog to Tornado Cash,Laundering,How blockchain obfuscation services evolved from simple coinjoin to smart-contract-based anonymity pools,Tornado Cash sanctions OFAC 2022 Roman Storm indictment,"Chainalysis 2024 Crypto Crime Report, DOJ v. Storm 2023","$7B+ laundered through crypto mixers since 2019 (Chainalysis)",pending
5,AlphaBay Takedown,Darknet,How law enforcement identified and dismantled the largest darknet market through server seizure and admin arrest,AlphaBay seized 2017 Operation Bayonet,"Wired investigation, DOJ press release July 2017",AlphaBay had 400K+ users and $1B+ in transactions, pending
6,Oil Sanctions Evasion Iranian Ghost Fleet,Sanctions,How Iran bypasses petroleum sanctions using ship-to-ship transfers flag hopping and falsified documentation,"Gulf Sky Oman-flagged tanker ship-to-ship, OFAC designations 2023-2024","United Against Nuclear Iran reports, OFAC press releases","~1.5M barrels/day of Iranian oil evades sanctions (S&P Global)",pending
7,North Korean IT Worker Infiltration,Sanctions,How DPRK operatives pose as remote contractors using stolen identities to earn sanctions-evading revenue,DOJ indictments 2022-2024 freelance platform fraud,DOJ v. DPRK IT workers (multiple indictments 2022-2024),$1.7B+ in revenue for DPRK weapons programs via cyber, pending
8,Real Estate Laundering London Dubai,Laundering,How opaque property markets in global cities serve as value stores for illicit wealth through shell companies,Pandora Papers 2021 UK unexplained wealth orders,ICIJ Pandora Papers investigation,UAE real estate saw $2.2B in suspicious transactions 2020-2022 (Transparency Intl),pending
9,Hydra Market and Russian Darknet,Darknet,How the Russian-language darknet market operated differently from Western markets with distinct escrow and dispute systems,Hydra seized 2022 by German police $5B volume,"BKA (German Federal Police) press release 2022, Chainalysis","$5B+ in Bitcoin transactions Hydra's lifetime (Chainalysis)",pending
10,Semiconductor Diversion to Russia,Sanctions,How front companies in third countries procure dual-use microelectronics for Russian military applications,BIS enforcement actions 2022-2025 front companies in Hong Kong Singapore,"BIS press releases, Royal United Services Institute reports","$1.8B in electronics exports to Russia from third parties 2022-2023 (RUSI)",pending
